
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:23:5D:8E:DF:51, 2016-06-11 16:58:01, 2016-06-11 16:58:15,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:1E:13:06:8F:E1, 2016-06-11 16:57:15, 2016-06-11 16:57:19,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:1C:B1:89:E7:01, 2016-06-11 16:58:08, 2016-06-11 16:58:08,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
74:D0:2B:84:30:D3, 2016-06-11 16:57:53, 2016-06-11 16:58:33, 11,  54, WPA2, CCMP TKIP,PSK, -93,        8,        0,   0.  0.  0.  0,   7, MarcNTW, 
A4:2B:8C:75:3C:10, 2016-06-11 16:57:18, 2016-06-11 16:58:40,  6,  54, WPA2, CCMP,PSK, -91,       11,        0,   0.  0.  0.  0,   9, NETGEAR48, 
00:1F:33:07:57:6E, 2016-06-11 16:57:15, 2016-06-11 16:58:37,  7,  54, WPA2, CCMP,PSK, -88,       15,        1,   0.  0.  0.  0,  22, TheHouseOfTheRisingSun, 
AC:A0:16:BB:12:72, 2016-06-11 16:56:38, 2016-06-11 16:58:40, 11,  54, WPA2, CCMP, MGT, -84,       58,        9,   0.  0.  0.  0,   7, eduroam, 
AC:A0:16:BB:12:71, 2016-06-11 16:56:38, 2016-06-11 16:58:40, 11,  54, WPA2, CCMP, MGT, -84,       55,      200,   0.  0.  0.  0,   7, unitn-x, 
AC:A0:16:BB:12:70, 2016-06-11 16:56:38, 2016-06-11 16:58:40, 11,  54, OPN, ,   , -82,       63,        7,  10. 20.  0.  1,   5, unitn, 
00:1C:B1:89:EF:91, 2016-06-11 16:56:39, 2016-06-11 16:58:40,  6,  54, WPA2, CCMP, MGT, -82,       70,      255,   0.  0.  0.  0,   7, unitn-x, 
00:1C:B1:89:EF:92, 2016-06-11 16:56:39, 2016-06-11 16:58:40,  6,  54, WPA2, CCMP, MGT, -81,       71,       18,   0.  0.  0.  0,   7, eduroam, 
00:1C:B1:89:EF:90, 2016-06-11 16:56:39, 2016-06-11 16:58:40,  6,  54, OPN, ,   , -81,       68,       49,  10. 20.  1. 52,   5, unitn, 
A4:0C:C3:47:29:70, 2016-06-11 16:56:36, 2016-06-11 16:58:40,  1,  54, OPN, ,   , -65,       84,      620,  10. 20. 65.219,   5, unitn, 
A4:0C:C3:47:29:71, 2016-06-11 16:56:36, 2016-06-11 16:58:41,  1,  54, WPA2, CCMP, MGT, -63,       84,      574,   0.  0.  0.  0,   7, unitn-x, 
A4:0C:C3:47:29:72, 2016-06-11 16:56:36, 2016-06-11 16:58:40,  1,  54, WPA2, CCMP, MGT, -67,       86,      162,   0.  0.  0.  0,   7, eduroam, 
C0:62:6B:85:86:E1, 2016-06-11 16:56:36, 2016-06-11 16:58:41,  1,  54, WPA2, CCMP, MGT, -58,       82,     4683,   0.  0.  0.  0,   7, unitn-x, 
C0:62:6B:85:86:E0, 2016-06-11 16:56:36, 2016-06-11 16:58:40,  1,  54, OPN, ,   , -58,       83,     1189,  10. 20. 15. 34,   5, unitn, 
C0:62:6B:85:86:E2, 2016-06-11 16:56:36, 2016-06-11 16:58:40,  1,  54, WPA2, CCMP, MGT, -54,       78,      612,   0.  0.  0.  0,   7, eduroam, 
D0:D0:FD:68:BB:81, 2016-06-11 16:56:39, 2016-06-11 16:58:40,  6,  54, WPA2, CCMP, MGT, -51,       79,      450,   0.  0.  0.  0,   7, unitn-x, 
D0:D0:FD:68:BB:80, 2016-06-11 16:56:39, 2016-06-11 16:58:40,  6,  54, OPN, ,   , -56,       80,        1,   0.  0.  0.  0,   5, unitn, 
D0:D0:FD:68:BB:82, 2016-06-11 16:56:39, 2016-06-11 16:58:40,  6,  54, WPA2, CCMP, MGT, -52,       76,      637,   0.  0.  0.  0,   7, eduroam, 
00:25:00:FF:94:73, 2016-06-11 16:58:04, 2016-06-11 16:58:36, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
90:00:4E:C2:49:B7, 2016-06-11 16:57:32, 2016-06-11 16:57:35, -85,        2, AC:A0:16:BB:12:71,
78:92:9C:8B:0C:90, 2016-06-11 16:56:39, 2016-06-11 16:57:33, -87,        9, C0:62:6B:85:86:E1,
D0:23:DB:CF:50:7E, 2016-06-11 16:57:15, 2016-06-11 16:57:33, -91,       29, 00:1E:13:06:8F:E1,unitn-x
34:23:87:04:97:7B, 2016-06-11 16:57:01, 2016-06-11 16:57:19, -82,        2, C0:62:6B:85:86:E1,
E0:DB:10:B7:D4:C4, 2016-06-11 16:57:19, 2016-06-11 16:57:19, -90,        1, (not associated) ,
2C:F0:EE:EA:36:83, 2016-06-11 16:57:18, 2016-06-11 16:57:18, -91,        1, (not associated) ,unitn-x
C0:11:73:8A:03:19, 2016-06-11 16:57:08, 2016-06-11 16:57:08, -67,        1, A4:0C:C3:47:29:71,
1C:B7:2C:56:D4:23, 2016-06-11 16:57:07, 2016-06-11 16:58:37, -77,        5, (not associated) ,
8A:2E:21:C6:0B:28, 2016-06-11 16:57:06, 2016-06-11 16:57:06, -89,        2, (not associated) ,
D8:9A:34:0A:27:A2, 2016-06-11 16:56:58, 2016-06-11 16:56:58, -72,       10, (not associated) ,
78:6C:1C:E8:59:0A, 2016-06-11 16:56:36, 2016-06-11 16:56:57, -75,       46, A4:0C:C3:47:29:72,
00:26:B6:B6:C8:66, 2016-06-11 16:56:42, 2016-06-11 16:56:57, -81,       26, 00:1C:B1:89:EF:90,
6C:B7:F4:54:74:78, 2016-06-11 16:56:46, 2016-06-11 16:56:46,  -1,        3, A4:0C:C3:47:29:72,
F0:DB:E2:8E:F7:89, 2016-06-11 16:56:39, 2016-06-11 16:56:46, -81,        4, AC:A0:16:BB:12:70,
5E:1D:B3:21:B9:7A, 2016-06-11 16:56:47, 2016-06-11 16:56:47, -83,        1, (not associated) ,
2C:56:DC:A6:EA:63, 2016-06-11 16:56:38, 2016-06-11 16:56:38, -81,        1, (not associated) ,
90:4C:E5:27:D2:52, 2016-06-11 16:56:41, 2016-06-11 16:58:41, -46,        9, (not associated) ,
3C:A9:F4:68:25:D4, 2016-06-11 16:56:49, 2016-06-11 16:56:49, -77,        2, (not associated) ,lugh
52:80:5B:CA:B1:BF, 2016-06-11 16:57:02, 2016-06-11 16:57:02, -88,        1, (not associated) ,
48:86:E8:AE:5C:78, 2016-06-11 16:57:11, 2016-06-11 16:57:15, -82,        4, A4:0C:C3:47:29:71,
D6:34:A4:85:1F:0B, 2016-06-11 16:57:13, 2016-06-11 16:57:14, -80,        2, (not associated) ,
78:92:9C:42:F6:78, 2016-06-11 16:57:29, 2016-06-11 16:57:29, -86,        2, (not associated) ,unitn
40:E2:30:F0:F5:B5, 2016-06-11 16:57:27, 2016-06-11 16:58:40, -82,        6, AC:A0:16:BB:12:70,
40:F0:2F:EA:DD:20, 2016-06-11 16:57:28, 2016-06-11 16:58:40, -71,        7, AC:A0:16:BB:12:71,unitn-x
24:FD:52:7A:7E:57, 2016-06-11 16:57:24, 2016-06-11 16:58:40, -69,        5, C0:62:6B:85:86:E1,
98:E7:F5:F3:75:71, 2016-06-11 16:57:12, 2016-06-11 16:58:20, -93,        3, (not associated) ,unitn-x
8C:7C:92:63:B5:D1, 2016-06-11 16:57:53, 2016-06-11 16:58:22, -93,       30, AC:A0:16:BB:12:71,EDOHOME,unitn-x
B8:4F:D5:EB:0C:1D, 2016-06-11 16:57:43, 2016-06-11 16:58:38, -92,       40, A4:0C:C3:47:29:71,unitn-x
1C:B7:2C:5F:F4:5B, 2016-06-11 16:56:36, 2016-06-11 16:57:57, -90,       10, AC:A0:16:BB:12:71,unitn-x
2C:8A:72:5C:1E:8C, 2016-06-11 16:57:58, 2016-06-11 16:57:58, -90,        1, (not associated) ,
08:21:EF:D1:2D:F0, 2016-06-11 16:58:11, 2016-06-11 16:58:36, -90,       13, AC:A0:16:BB:12:71,
C8:B5:B7:10:0B:CD, 2016-06-11 16:58:21, 2016-06-11 16:58:27, -90,        9, AC:A0:16:BB:12:72,eduroam
8C:A9:82:5F:76:62, 2016-06-11 16:56:56, 2016-06-11 16:58:29, -89,       10, AC:A0:16:BB:12:70,
F0:CB:A1:05:CE:0B, 2016-06-11 16:58:28, 2016-06-11 16:58:28, -89,        2, (not associated) ,unitn-x
BC:F5:AC:F4:08:FE, 2016-06-11 16:58:04, 2016-06-11 16:58:33, -88,        2, 00:1C:B1:89:EF:91,
DE:FF:4C:34:04:9A, 2016-06-11 16:58:00, 2016-06-11 16:58:00, -88,        2, (not associated) ,
8C:C5:E1:1E:75:8B, 2016-06-11 16:56:39, 2016-06-11 16:58:11, -88,      128, 00:1C:B1:89:EF:91,
B8:5E:7B:0B:2B:F9, 2016-06-11 16:57:22, 2016-06-11 16:58:30, -87,        5, A4:0C:C3:47:29:71,unitn-x
14:5A:05:62:B8:57, 2016-06-11 16:56:49, 2016-06-11 16:58:01, -87,        8, C0:62:6B:85:86:E1,TNCAP0BB5CC,InfostradaWiFi-B4E2AB
C4:3A:BE:A9:78:A9, 2016-06-11 16:57:39, 2016-06-11 16:57:50, -87,        2, 00:1C:B1:89:EF:91,
7E:F6:38:7E:91:6F, 2016-06-11 16:58:04, 2016-06-11 16:58:36, -84,       13, 00:25:00:FF:94:73,
14:10:9F:28:9C:2F, 2016-06-11 16:56:52, 2016-06-11 16:57:37, -86,        8, (not associated) ,dlink,Alice-96032820,FASTWEB-1-C6A15F,Alice-12200830,WLAN_9D2C
CC:FA:00:E6:38:13, 2016-06-11 16:58:34, 2016-06-11 16:58:34, -86,        4, (not associated) ,
C4:43:8F:F7:09:CC, 2016-06-11 16:56:53, 2016-06-11 16:58:18, -85,        7, (not associated) ,WirGuest
20:16:D8:7B:B6:01, 2016-06-11 16:56:38, 2016-06-11 16:57:53, -84,       15, 00:1C:B1:89:EF:91,
74:E5:43:68:97:C2, 2016-06-11 16:56:39, 2016-06-11 16:58:27, -84,       12, 00:1C:B1:89:EF:90,unitn
A0:99:9B:6D:46:08, 2016-06-11 16:58:00, 2016-06-11 16:58:08, -83,        7, AC:A0:16:BB:12:71,unitn-x
00:22:FA:7A:5B:DC, 2016-06-11 16:56:41, 2016-06-11 16:57:49, -83,        5, (not associated) ,eduroam
20:68:9D:8E:10:00, 2016-06-11 16:57:52, 2016-06-11 16:57:54, -83,        5, 00:1C:B1:89:EF:90,
40:0E:85:4A:63:ED, 2016-06-11 16:57:22, 2016-06-11 16:58:23, -83,        3, A4:0C:C3:47:29:71,
4C:34:88:CE:12:42, 2016-06-11 16:56:42, 2016-06-11 16:58:18, -82,        5, AC:A0:16:BB:12:70,
90:FD:61:55:60:DC, 2016-06-11 16:58:18, 2016-06-11 16:58:18, -82,        1, AC:A0:16:BB:12:71,
0C:84:DC:F6:18:99, 2016-06-11 16:56:46, 2016-06-11 16:58:36, -82,       46, AC:A0:16:BB:12:71,
40:E2:30:AD:13:E3, 2016-06-11 16:57:46, 2016-06-11 16:58:36, -81,        2, 00:1C:B1:89:EF:90,
04:F1:3E:D9:1B:68, 2016-06-11 16:56:39, 2016-06-11 16:58:33, -80,       32, A4:0C:C3:47:29:71,
E0:2A:82:DC:A1:F1, 2016-06-11 16:56:36, 2016-06-11 16:58:37, -80,     1190, C0:62:6B:85:86:E0,
60:F1:89:5C:2F:6C, 2016-06-11 16:57:05, 2016-06-11 16:58:28, -80,        8, (not associated) ,
00:1C:BF:C0:71:3A, 2016-06-11 16:56:39, 2016-06-11 16:58:38, -80,       30, C0:62:6B:85:86:E1,unitn-x
D0:92:9E:B1:C3:1C, 2016-06-11 16:56:39, 2016-06-11 16:58:33, -80,      193, C0:62:6B:85:86:E1,
50:55:27:F3:E7:8B, 2016-06-11 16:57:24, 2016-06-11 16:58:19, -79,      223, A4:0C:C3:47:29:70,
68:A3:C4:E5:A7:B1, 2016-06-11 16:56:53, 2016-06-11 16:57:57, -79,        7, AC:A0:16:BB:12:71,
84:A6:C8:50:65:0E, 2016-06-11 16:57:38, 2016-06-11 16:57:38, -79,        3, (not associated) ,unitn-x
C4:9A:02:53:6D:84, 2016-06-11 16:56:57, 2016-06-11 16:57:54, -79,        9, A4:0C:C3:47:29:70,CLARO-WIFI
70:F1:A1:3F:FB:79, 2016-06-11 16:56:50, 2016-06-11 16:58:04, -79,        7, C0:62:6B:85:86:E1,unitn-x
54:72:4F:51:12:5B, 2016-06-11 16:58:01, 2016-06-11 16:58:01, -79,        2, A4:0C:C3:47:29:71,
D0:22:BE:D1:D6:58, 2016-06-11 16:56:50, 2016-06-11 16:58:40, -90,      404, A4:0C:C3:47:29:70,
48:5D:60:65:8C:78, 2016-06-11 16:57:01, 2016-06-11 16:58:40, -78,      496, C0:62:6B:85:86:E2,eduroam
E8:50:8B:0F:D9:E3, 2016-06-11 16:57:36, 2016-06-11 16:57:59, -78,       25, A4:0C:C3:47:29:71,unitn
50:B7:C3:F6:EA:0D, 2016-06-11 16:56:36, 2016-06-11 16:58:16, -78,     1985, C0:62:6B:85:86:E1,
04:C2:3E:20:EF:0A, 2016-06-11 16:57:34, 2016-06-11 16:57:46, -76,        4, (not associated) ,
50:B7:C3:BB:DF:5B, 2016-06-11 16:57:03, 2016-06-11 16:58:18, -75,        8, AC:A0:16:BB:12:70,unitn
EC:9B:F3:75:E4:75, 2016-06-11 16:58:25, 2016-06-11 16:58:25, -75,        3, (not associated) ,
BC:E6:3F:CA:05:A7, 2016-06-11 16:57:03, 2016-06-11 16:58:36, -83,       19, (not associated) ,
48:5D:60:9E:F0:E7, 2016-06-11 16:56:44, 2016-06-11 16:57:47, -74,        3, C0:62:6B:85:86:E1,
68:94:23:A4:72:AF, 2016-06-11 16:56:45, 2016-06-11 16:58:39, -75,       32, (not associated) ,
B0:10:41:07:50:31, 2016-06-11 16:56:44, 2016-06-11 16:58:33, -73,     2109, C0:62:6B:85:86:E1,
BC:4C:C4:49:39:C1, 2016-06-11 16:58:33, 2016-06-11 16:58:33, -73,        3, (not associated) ,eduroam
74:E5:43:DE:A2:85, 2016-06-11 16:56:39, 2016-06-11 16:58:26, -72,      322, C0:62:6B:85:86:E1,unitn-x
88:30:8A:73:59:8C, 2016-06-11 16:56:46, 2016-06-11 16:58:15, -71,        7, AC:A0:16:BB:12:71,
38:F2:3E:B9:9D:80, 2016-06-11 16:56:36, 2016-06-11 16:58:12, -71,      101, A4:0C:C3:47:29:72,
8C:3A:E3:5F:B5:BF, 2016-06-11 16:56:51, 2016-06-11 16:58:34, -70,       18, (not associated) ,
F4:B7:E2:C6:FC:7E, 2016-06-11 16:57:15, 2016-06-11 16:58:30, -70,        8, C0:62:6B:85:86:E1,
20:82:C0:D9:73:09, 2016-06-11 16:56:54, 2016-06-11 16:58:12, -70,       23, C0:62:6B:85:86:E1,unitn-x
64:CC:2E:86:72:8A, 2016-06-11 16:58:19, 2016-06-11 16:58:22, -70,        5, 00:1C:B1:89:EF:92,
28:B2:BD:C7:79:0F, 2016-06-11 16:56:41, 2016-06-11 16:58:20, -69,       48, (not associated) ,eduroam
CC:25:EF:22:06:6E, 2016-06-11 16:57:25, 2016-06-11 16:58:22, -69,       13, D0:D0:FD:68:BB:81,unitn-x
24:0A:64:A5:23:F1, 2016-06-11 16:56:57, 2016-06-11 16:58:12, -68,      269, A4:0C:C3:47:29:71,unitn-x
04:C2:3E:20:33:39, 2016-06-11 16:56:42, 2016-06-11 16:58:13, -64,        7, (not associated) ,
94:DB:C9:47:CB:ED, 2016-06-11 16:56:57, 2016-06-11 16:58:37, -63,       21, C0:62:6B:85:86:E2,eduroam
